Model_Name,Std_CMM,STD_CMH,Range_CMM_Min,Range_CMM_Max,Range_CMH_Min,Range_CMH_Max,SF_Fan_Size,SF_Motor_kW,SF_Static_mmAq,RF_Fan_Size,RF_Motor_kW,RF_Static_mmAq,Cooling_kcal_h,Heating_Steam_kcal_h,Heating_Water_kcal_h,Coil_Pass,Coil_H,Coil_W,Coil_Qty,Face_Area_m2,Filter_Row,Filter_Col,Humid_kg_h,Conn_Cool_In_Out_A,Conn_Cool_Qty,Conn_Steam_In_A,Conn_Steam_In_Qty,Conn_Steam_Out_A,Conn_Steam_Out_Qty
RU-20,40,2400,0,46,0,2760,GTLB-5-025,1.5,100,GTLB-5-022,1.5,40,19000,17000,15000,18,572,530,1,0.3,1,1,10,40,1,25,1,20,1
RU-21,60,3600,46,71,2761,4260,GTLB-5-028,2.2,100,GTLB-5-028,1.5,40,30000,27000,23000,18,572,810,1,0.46,1,1.5,16,40,1,32,1,20,1
RU-22,85,5100,71,97,4261,5820,GTLB-5-031,3.7,100,GTLB-5-028,1.5,40,40000,37000,31000,18,572,1110,1,0.63,1,2,21,40,1,32,1,20,1
RU-31,125,7500,97,150,5821,9000,GTLB-5-040,5.5,100,GTLB-5-035,3.7,40,62000,57000,48000,28,889,1110,1,0.99,1.5,2,33,50,1,40,1,25,1
RU-40,170,10200,150,193,9001,11580,GTLB-5-045,5.5,100,GTLB-5-040,3.7,40,80000,73000,62000,36,1143,1110,1,1.27,2,2,42,65,1,40,1,25,1
RU-41,220,13200,193,242,11581,14520,GTLB-5-050,7.5,100,GTLB-5-045,3.7,40,101000,92000,78000,36,1143,1390,1,1.59,2,2.5,52,65,1,50,1,32,1
RU-42,270,16200,242,294,14521,17640,GTLB-5-056,11,100,GTLB-5-050,5.5,40,122000,112000,95000,36,1143,1690,1,1.93,2,3,63,80,1,50,1,32,1
RU-51,340,20400,294,384,17641,23040,GTLB-5-063,11,100,GTLB-5-056,5.5,40,160000,146000,124000,47,1492,1690,1,2.52,2.5,3,83,80,1,50,1,32,1
RU-60,400,24000,384,425,23041,25500,GTLB-5-063,15,100,GTLB-5-056,7.5,40,177000,162000,137000,26,826,1690,2,2.79,3,3,91,65,1,65,1,40,1
RU-70,520,31200,425,600,25501,36000,GTLB-5-080,18.5,100,GTLB-5-071,7.5,40,249000,228000,194000,31,984,1990,2,3.92,3.5,3.5,129,80,1,65,1,40,1
